Compounds,InChI
C109CO,"InChI=1S/C10H14O3/c1-10(2)7(3-4-11)5-8(10)9(13)6-12/h4,6-8H,3,5H2,1-2H3"
C109OOH,"InChI=1S/C10H16O4/c1-10(2)7(3-4-11)5-8(10)9(12)6-14-13/h4,7-8,13H,3,5-6H2,1-2H3"
LIMALACO,"InChI=1S/C10H14O3/c1-7(2)9(4-5-11)6-10(13)8(3)12/h5,9H,1,4,6H2,2-3H3"
LIMALAOOH,"InChI=1S/C10H16O4/c1-7(2)9(4-5-11)6-10(14-13)8(3)12/h5,9-10,13H,1,4,6H2,2-3H3"
LIMALBCO,"InChI=1S/C10H14O3/c1-8(2)9(5-6-11)3-4-10(13)7-12/h6-7,9H,1,3-5H2,2H3"
LIMALBOOH,"InChI=1S/C10H16O4/c1-8(2)9(5-6-11)3-4-10(12)7-14-13/h6,9,13H,1,3-5,7H2,2H3"
PINALOOH,"InChI=1S/C10H16O4/c1-7(12)8-6-10(14-13,4-5-11)9(8,2)3/h5,8,13H,4,6H2,1-3H3"
C116CO,"InChI=1S/C11H16O3/c1-11(2)7-8(9(11)3-5-12)10(14)4-6-13/h5-6,8-9H,3-4,7H2,1-2H3"
C116OOH,"InChI=1S/C11H18O4/c1-11(2)7-8(9(11)3-5-12)10(13)4-6-15-14/h5,8-9,14H,3-4,6-7H2,1-2H3"
C116CHO,"InChI=1S/C12H18O3/c1-12(2)8-9(10(12)5-7-14)11(15)4-3-6-13/h6-7,9-10H,3-5,8H2,1-2H3"
C116CO3H,"InChI=1S/C12H18O5/c1-12(2)7-8(9(12)5-6-13)10(14)3-4-11(15)17-16/h6,8-9,16H,3-5,7H2,1-2H3"
C1210OOH,"InChI=1S/C12H20O4/c1-12(2)8-9(10(12)5-7-16-15)11(14)4-3-6-13/h6,9-10,15H,3-5,7-8H2,1-2H3"
C129CO,"InChI=1S/C12H16O4/c1-12(2)7-8(9(12)3-5-13)11(16)10(15)4-6-14/h5-6,8-9H,3-4,7H2,1-2H3"
C129OOH,"InChI=1S/C12H18O5/c1-12(2)7-8(9(12)3-5-13)11(15)10(17-16)4-6-14/h5-6,8-10,16H,3-4,7H2,1-2H3"
C1210CO3H,"InChI=1S/C13H20O5/c1-13(2)8-9(11(15)4-3-7-14)10(13)5-6-12(16)18-17/h7,9-10,17H,3-6,8H2,1-2H3"
C131CO,"InChI=1S/C13H20O3/c1-9(15)4-5-11-10(8-13(11,2)3)12(16)6-7-14/h7,10-11H,4-6,8H2,1-3H3"
BCLKACO,"InChI=1S/C14H20O4/c1-9(16)13(18)7-11-10(8-14(11,2)3)12(17)5-4-6-15/h6,10-11H,4-5,7-8H2,1-3H3"
BCLKAOOH,"InChI=1S/C14H22O5/c1-9(16)13(19-18)7-11-10(8-14(11,2)3)12(17)5-4-6-15/h6,10-11,13,18H,4-5,7-8H2,1-3H3"
BCLKBCO,"InChI=1S/C14H20O4/c1-14(2)8-11(13(18)4-3-7-15)12(14)6-5-10(17)9-16/h7,9,11-12H,3-6,8H2,1-2H3"
BCLKBOOH,"InChI=1S/C14H22O5/c1-14(2)8-11(13(17)4-3-7-15)12(14)6-5-10(16)9-19-18/h7,11-12,18H,3-6,8-9H2,1-2H3"
BCLKCCO,"InChI=1S/C14H20O4/c1-9(16)4-5-12-11(7-14(12,2)3)13(18)6-10(17)8-15/h8,11-12H,4-7H2,1-3H3"
BCLKCOOH,"InChI=1S/C14H22O5/c1-9(16)4-5-12-11(7-14(12,2)3)13(17)6-10(8-15)19-18/h8,10-12,18H,4-7H2,1-3H3"
BCLKET,"InChI=1S/C14H22O3/c1-10(16)6-7-12-11(9-14(12,2)3)13(17)5-4-8-15/h8,11-12H,4-7,9H2,1-3H3"
C141CO,"InChI=1S/C14H22O2/c1-10(7-8-15)12-9-14(3,4)13(12)6-5-11(2)16/h8,12-13H,1,5-7,9H2,2-4H3"
C146CO,"InChI=1S/C14H20O4/c1-9(16)4-5-11-10(8-14(11,2)3)13(18)12(17)6-7-15/h7,10-11H,4-6,8H2,1-3H3"
C146OOH,"InChI=1S/C14H22O5/c1-9(16)4-5-11-10(8-14(11,2)3)13(17)12(19-18)6-7-15/h7,10-12,18H,4-6,8H2,1-3H3"
BCALACO,"InChI=1S/C15H22O3/c1-10(6-5-7-16)12-9-15(3,4)13(12)8-14(18)11(2)17/h7,12-13H,1,5-6,8-9H2,2-4H3"
BCALAOOH,"InChI=1S/C15H24O4/c1-10(6-5-7-16)12-9-15(3,4)13(12)8-14(19-18)11(2)17/h7,12-14,18H,1,5-6,8-9H2,2-4H3"
BCALBCO,"InChI=1S/C15H22O3/c1-11(5-4-8-16)13-9-15(2,3)14(13)7-6-12(18)10-17/h8,10,13-14H,1,4-7,9H2,2-3H3"
BCALBOOH,"InChI=1S/C15H24O4/c1-11(5-4-8-16)13-9-15(2,3)14(13)7-6-12(17)10-19-18/h8,13-14,18H,1,4-7,9-10H2,2-3H3"
BCALCCO,"InChI=1S/C15H22O3/c1-10(7-12(18)9-16)13-8-15(3,4)14(13)6-5-11(2)17/h9,13-14H,1,5-8H2,2-4H3"
BCALCOOH,"InChI=1S/C15H24O4/c1-10(7-12(9-16)19-18)13-8-15(3,4)14(13)6-5-11(2)17/h9,12-14,18H,1,5-8H2,2-4H3"
DMPHGLYOX,"InChI=1S/C10H10O2/c1-7-3-8(2)5-9(4-7)10(12)6-11/h3-6H,1-2H3"
EMPHGLYOX,"InChI=1S/C11H12O2/c1-3-9-4-8(2)5-10(6-9)11(13)7-12/h4-7H,3H2,1-2H3"
CO13C4OH,"InChI=1S/C4H6O3/c5-2-1-4(7)3-6/h2,6H,1,3H2"
CO2H3CHO,"InChI=1S/C4H6O3/c1-3(6)4(7)2-5/h2,4,7H,1H3"
H1CO23CHO,"InChI=1S/C4H4O4/c5-1-3(7)4(8)2-6/h1,6H,2H2"
C512OH,"InChI=1S/C5H8O3/c6-3-1-5(8)2-4-7/h3,7H,1-2,4H2"
C513CO,"InChI=1S/C5H6O4/c6-2-1-4(8)5(9)3-7/h3,6H,1-2H2"
C513OH,"InChI=1S/C5H8O4/c6-2-1-4(8)5(9)3-7/h3,5-6,9H,1-2H2"
C513OOH,"InChI=1S/C5H8O5/c6-2-1-4(8)5(3-7)10-9/h3,5-6,9H,1-2H2"
C514CO23OH,"InChI=1S/C5H8O4/c1-3(7)5(9)4(8)2-6/h2,4-5,8-9H,1H3"
C520OOH,"InChI=1S/C5H8O5/c1-4(8)5(2-6,3-7)10-9/h2,7,9H,3H2,1H3"
C5CO3OH,"InChI=1S/C5H6O4/c1-3(7)5(9)4(8)2-6/h2,5,9H,1H3"
C5DICAROOH,"InChI=1S/C5H8O5/c1-3(7)5(10-9)4(8)2-6/h2,4-5,8-9H,1H3"
H1C23C4CHO,"InChI=1S/C5H6O4/c6-2-1-4(8)5(9)3-7/h2,7H,1,3H2"
HO2CO4CHO,"InChI=1S/C5H8O3/c1-4(7)2-5(8)3-6/h3-4,7H,2H2,1H3"
HOIPRGLYOX,"InChI=1S/C5H8O3/c1-4(2-6)5(8)3-7/h3-4,6H,2H2,1H3"
IEC2OOH,"InChI=1S/C5H8O5/c1-5(3-7,10-9)4(8)2-6/h3,6,9H,2H2,1H3"
MBOCOCO,"InChI=1S/C5H8O3/c1-5(2,8)4(7)3-6/h3,8H,1-2H3"
C43OHCOCHO,"InChI=1S/C6H10O3/c1-2-5(8)3-6(9)4-7/h4-5,8H,2-3H2,1H3"
C517CHO,"InChI=1S/C6H10O3/c1-5(9)6(4-8)2-3-7/h3,6,8H,2,4H2,1H3"
C5COOHCO3H,"InChI=1S/C6H6O6/c7-3-5(9)4(8)1-2-6(10)12-11/h1-3,5,9,11H"
C5MO132OH,"InChI=1S/C6H10O3/c1-4(2)6(9)5(8)3-7/h3-5,8H,1-2H3"
C6134CO2OH,"InChI=1S/C6H8O4/c1-2-4(8)6(10)5(9)3-7/h3,5,9H,2H2,1H3"
C614CO23OH,"InChI=1S/C6H10O4/c1-2-4(8)6(10)5(9)3-7/h3,5-6,9-10H,2H2,1H3"
C615CO2OH,"InChI=1S/C6H8O3/c1-5(8)2-3-6(9)4-7/h2-4,6,9H,1H3"
C616OH,"InChI=1S/C6H8O4/c7-3-1-2-5(9)6(10)4-8/h3-4,6,10H,1-2H2"
C617OH,"InChI=1S/C6H10O3/c1-6(2,4-8)5(9)3-7/h4,7H,3H2,1-2H3"
C620OH,"InChI=1S/C6H8O4/c7-3-1-5(9)6(10)2-4-8/h3-5,9H,1-2H2"
C628OH,"InChI=1S/C6H10O4/c1-5(9)6(10,4-8)2-3-7/h3,8,10H,2,4H2,1H3"
C628OOH,"InChI=1S/C6H10O5/c1-5(9)6(4-8,11-10)2-3-7/h3,8,10H,2,4H2,1H3"
C629OH,"InChI=1S/C6H10O4/c1-5(9)6(10,4-8)2-3-7/h4,7,10H,2-3H2,1H3"
C629OOH,"InChI=1S/C6H10O5/c1-5(9)6(4-8,11-10)2-3-7/h4,7,10H,2-3H2,1H3"
C630CO,"InChI=1S/C6H8O3/c1-5(2-3-7)6(9)4-8/h4,7H,1-3H2"
C65OH,"InChI=1S/C6H10O3/c1-5(8)3-6(2,9)4-7/h4,9H,3H2,1-2H3"
C67CHO,"InChI=1S/C6H10O3/c1-6(2,9)5(8)3-4-7/h4,9H,3H2,1-2H3"
C6CO2M2OH,"InChI=1S/C6H10O4/c1-4(8)5(9)6(2,10)3-7/h3,5,9-10H,1-2H3"
C6CO2OHOOH,"InChI=1S/C6H10O5/c1-4(8)5(9)6(2,3-7)11-10/h3,5,9-10H,1-2H3"
C6CO3MOH,"InChI=1S/C6H8O4/c1-4(8)5(9)6(2,10)3-7/h3,10H,1-2H3"
C6COHOCHO,"InChI=1S/C6H10O3/c7-4-1-2-6(9)3-5-8/h5,7H,1-4H2"
C6DICAROOH,"InChI=1S/C6H10O5/c1-2-4(8)6(11-10)5(9)3-7/h3,5-6,9-10H,2H2,1H3"
C6TONOHOOH,"InChI=1S/C6H8O6/c7-2-1-5(12-11)6(10)4(9)3-8/h2,5,8,11H,1,3H2"
H2M3CO4CHO,"InChI=1S/C6H10O3/c1-4(5(2)8)6(9)3-7/h3-5,8H,1-2H3"
H3C25C5CHO,"InChI=1S/C6H8O4/c1-4(8)6(10)2-5(9)3-7/h3,6,10H,2H2,1H3"
HM22COCHO,"InChI=1S/C6H10O3/c1-6(2,4-8)5(9)3-7/h3,8H,4H2,1-2H3"
MC52CO2OH,"InChI=1S/C6H10O4/c1-4(8)6(2,10)5(9)3-7/h3,5,9-10H,1-2H3"
MC5COOHOOH,"InChI=1S/C6H10O5/c1-4(8)6(2,11-10)5(9)3-7/h3,5,9-10H,1-2H3"
MIBKHO4CHO,"InChI=1S/C6H10O3/c1-6(2,9)3-5(8)4-7/h4,9H,3H2,1-2H3"
C61CHO,"InChI=1S/C7H10O4/c1-2-3-5(9)7(11)6(10)4-8/h4,6,10H,2-3H2,1H3"
C62CHO,"InChI=1S/C7H10O4/c1-4(2)6(10)7(11)5(9)3-8/h3-5,9H,1-2H3"
C6COOHCO3H,"InChI=1S/C7H8O6/c1-4(2-6(10)13-12)7(11)5(9)3-8/h2-3,5,9,12H,1H3"
C6M5CO2OH,"InChI=1S/C7H10O3/c1-6(9)3-4-7(2,10)5-8/h3-5,10H,1-2H3"
C715CO2OH,"InChI=1S/C7H10O3/c1-2-6(9)3-4-7(10)5-8/h3-5,7,10H,2H2,1H3"
C716OH,"InChI=1S/C7H10O4/c1-5(9)7(11)4-6(10)2-3-8/h3,7,11H,2,4H2,1H3"
C717OH,"InChI=1S/C7H10O4/c1-5(9)7(11)4-6(10)2-3-8/h3,6,10H,2,4H2,1H3"
C718OH,"InChI=1S/C7H12O3/c1-7(2,5-9)6(10)3-4-8/h5,8H,3-4H2,1-2H3"
C731OH,"InChI=1S/C7H12O3/c1-6(10)7(2-4-8)3-5-9/h4,7,9H,2-3,5H2,1H3"
C733CO,"InChI=1S/C7H10O4/c1-5(10)6(2-3-8)7(11)4-9/h4,6,8H,2-3H2,1H3"
C733OH,"InChI=1S/C7H12O4/c1-5(10)6(2-3-8)7(11)4-9/h4,6-8,11H,2-3H2,1H3"
C733OOH,"InChI=1S/C7H12O5/c1-5(10)6(2-3-8)7(4-9)12-11/h4,6-8,11H,2-3H2,1H3"
C735OH,"InChI=1S/C7H10O4/c1-6(10)7(11,2-4-8)3-5-9/h4-5,11H,2-3H2,1H3"
C736OH,"InChI=1S/C7H10O3/c1-6(3-2-4-8)7(10)5-9/h4,9H,1-3,5H2"
C7ADCOH,"InChI=1S/C7H12O4/c1-5(9)7(3,11)6(2,10)4-8/h4,10-11H,1-3H3"
C7ADCOOH,"InChI=1S/C7H12O5/c1-5(9)7(3,12-11)6(2,10)4-8/h4,10-11H,1-3H3"
C7CO3OHOOH,"InChI=1S/C7H10O6/c1-2-4(9)7(13-12)6(11)5(10)3-8/h3,6-7,11-12H,2H2,1H3"
C7DCOH,"InChI=1S/C7H12O4/c1-2-3-5(9)7(11)6(10)4-8/h4,6-7,10-11H,2-3H2,1H3"
C7DCOOH,"InChI=1S/C7H12O5/c1-2-3-5(9)7(12-11)6(10)4-8/h4,6-7,10-11H,2-3H2,1H3"
C7DDCOH,"InChI=1S/C7H12O4/c1-3-5(9)6(10)7(2,11)4-8/h4,6,10-11H,3H2,1-2H3"
C7DDCOOH,"InChI=1S/C7H12O5/c1-3-5(9)6(10)7(2,4-8)12-11/h4,6,10-11H,3H2,1-2H3"
IC7DCOOH,"InChI=1S/C7H12O5/c1-4(2)6(10)7(12-11)5(9)3-8/h3-5,7,9,11H,1-2H3"
MC6CO2OH,"InChI=1S/C7H10O3/c1-6(9)7(2,10)4-3-5-8/h3-5,10H,1-2H3"
C5M2OHCO3H,"InChI=1S/C8H10O6/c1-4(5(2)8(12)14-13)7(11)6(10)3-9/h3,6,10,13H,1-2H3"
C7M15CO2OH,"InChI=1S/C8H12O3/c1-6(2)8(11)4-3-7(10)5-9/h3-7,10H,1-2H3"
C7M6CO2OH,"InChI=1S/C8H12O3/c1-3-7(10)4-5-8(2,11)6-9/h4-6,11H,3H2,1-2H3"
C7MO3OHOOH,"InChI=1S/C8H12O6/c1-4(2)6(11)8(14-13)7(12)5(10)3-9/h3-4,7-8,12-13H,1-2H3"
C7OHO2CO3H,"InChI=1S/C8H10O6/c1-2-5(3-7(11)14-13)8(12)6(10)4-9/h3-4,6,10,13H,2H2,1H3"
C815CO2OH,"InChI=1S/C8H12O3/c1-2-3-7(10)4-5-8(11)6-9/h4-6,8,11H,2-3H2,1H3"
C824CO,"InChI=1S/C8H12O3/c1-6(2)7(3-4-9)8(11)5-10/h5,7,9H,1,3-4H2,2H3"
C83COOHOOH,"InChI=1S/C8H12O6/c1-2-3-5(10)8(14-13)7(12)6(11)4-9/h4,7-8,12-13H,2-3H2,1H3"
C87OH,"InChI=1S/C8H12O4/c1-8(2,5-11)6(3-9)7(12)4-10/h3,5-6,10H,4H2,1-2H3"
MC7CO2OH,"InChI=1S/C8H12O3/c1-3-7(10)8(2,11)5-4-6-9/h4-6,11H,3H2,1-2H3"
C5MEJCO3H,"InChI=1S/C9H12O6/c1-3-6(5(2)9(13)15-14)8(12)7(11)4-10/h4,7,11,14H,3H2,1-2H3"
C8O2OHCO3H,"InChI=1S/C9H12O6/c1-5(2)6(3-8(12)15-14)9(13)7(11)4-10/h3-5,7,11,14H,1-2H3"
C8OHO2CO3H,"InChI=1S/C9H12O6/c1-2-3-6(4-8(12)15-14)9(13)7(11)5-10/h4-5,7,11,14H,2-3H2,1H3"
C914OH,"InChI=1S/C9H12O4/c1-9(2)5(4-10)6(11)3-7(12)8(9)13/h4-5,8,13H,3H2,1-2H3"
C915OH,"InChI=1S/C9H14O3/c1-9(2)6(5-10)7(11)3-4-8(9)12/h5-6,8,12H,3-4H2,1-2H3"
C916OH,"InChI=1S/C9H14O4/c1-9(2,13)7(6-11)8(12)4-3-5-10/h5-7,13H,3-4H2,1-2H3"
C918OH,"InChI=1S/C9H14O3/c1-9(2)6(5-8(9)12)7(11)3-4-10/h4,6,8,12H,3,5H2,1-2H3"
C919OH,"InChI=1S/C9H14O4/c1-9(2,13)7(3-5-10)8(12)4-6-11/h5-7,13H,3-4H2,1-2H3"
C926OH,"InChI=1S/C9H14O4/c1-7(11)3-4-9(13,5-6-10)8(2)12/h6,13H,3-5H2,1-2H3"
C930OH,"InChI=1S/C9H14O4/c1-9(2,13)6-8(12)7(11)4-3-5-10/h5,13H,3-4,6H2,1-2H3"
LMLKAOH,"InChI=1S/C9H14O4/c1-6(11)8(3-4-10)5-9(13)7(2)12/h4,8-9,13H,3,5H2,1-2H3"
LMLKBOH,"InChI=1S/C9H14O4/c1-7(12)8(4-5-10)2-3-9(13)6-11/h5,8,11H,2-4,6H2,1H3"
NORLIMOOH,"InChI=1S/C9H16O5/c1-7(12)3-4-8(5-10)9(2,6-11)14-13/h5,8,11,13H,3-4,6H2,1-2H3"
C1010OH,"InChI=1S/C10H16O3/c1-8(5-4-6-11)9(12)7-10(2,3)13/h6,13H,1,4-5,7H2,2-3H3"
C1012OH,"InChI=1S/C10H18O3/c1-8(12)4-5-9(13)10(2,3)6-7-11/h7,9,13H,4-6H2,1-3H3"
C106OH,"InChI=1S/C10H16O4/c1-7(12)9(10(2,3)14)6-8(13)4-5-11/h5,9,14H,4,6H2,1-3H3"
C107OH,"InChI=1S/C10H16O3/c1-7(12)10(13)6-8(4-5-11)9(10,2)3/h5,8,13H,4,6H2,1-3H3"
C108OH,"InChI=1S/C10H16O4/c1-7(12)9(13)6-8(4-5-11)10(2,3)14/h5,8,14H,4,6H2,1-3H3"
C109OH,"InChI=1S/C10H16O3/c1-10(2)7(3-4-11)5-8(10)9(13)6-12/h4,7-8,12H,3,5-6H2,1-2H3"
LIMALAOH,"InChI=1S/C10H16O3/c1-7(2)9(4-5-11)6-10(13)8(3)12/h5,9-10,13H,1,4,6H2,2-3H3"
LIMALBOH,"InChI=1S/C10H16O3/c1-8(2)9(5-6-11)3-4-10(13)7-12/h6,9,12H,1,3-5,7H2,2H3"
LIMALOH,"InChI=1S/C10H18O4/c1-8(13)3-4-9(5-6-11)10(2,14)7-12/h6,9,12,14H,3-5,7H2,1-2H3"
LIMALOOH,"InChI=1S/C10H18O5/c1-8(13)3-4-9(5-6-11)10(2,7-12)15-14/h6,9,12,14H,3-5,7H2,1-2H3"
PINALOH,"InChI=1S/C10H16O3/c1-7(12)8-6-10(13,4-5-11)9(8,2)3/h5,8,13H,4,6H2,1-3H3"
C116OH,"InChI=1S/C11H18O3/c1-11(2)7-8(9(11)3-5-12)10(14)4-6-13/h5,8-9,13H,3-4,6-7H2,1-2H3"
C117OH,"InChI=1S/C11H18O4/c1-10(2)7-11(15,8(10)3-5-12)9(14)4-6-13/h5,8,13,15H,3-4,6-7H2,1-2H3"
C117OOH,"InChI=1S/C11H18O5/c1-10(2)7-11(16-15,8(10)3-5-12)9(14)4-6-13/h5,8,13,15H,3-4,6-7H2,1-2H3"
C118CO,"InChI=1S/C11H16O5/c1-11(2,10(16)4-6-13)7-9(15)8(14)3-5-12/h6,12H,3-5,7H2,1-2H3"
C118OH,"InChI=1S/C11H18O5/c1-11(2,10(16)4-6-13)7-9(15)8(14)3-5-12/h6,10,12,16H,3-5,7H2,1-2H3"
C118OOH,"InChI=1S/C11H18O6/c1-11(2,10(17-16)4-6-13)7-9(15)8(14)3-5-12/h6,10,12,16H,3-5,7H2,1-2H3"
C1210OH,"InChI=1S/C12H20O3/c1-12(2)8-9(10(12)5-7-14)11(15)4-3-6-13/h6,9-10,14H,3-5,7-8H2,1-2H3"
C1214OH,"InChI=1S/C12H20O4/c1-11(2)8-12(16,9(11)5-7-14)10(15)4-3-6-13/h6,9,14,16H,3-5,7-8H2,1-2H3"
C1214OOH,"InChI=1S/C12H20O5/c1-11(2)8-12(17-16,9(11)5-7-14)10(15)4-3-6-13/h6,9,14,16H,3-5,7-8H2,1-2H3"
C1215CO,"InChI=1S/C12H18O5/c1-12(2,11(17)5-7-14)8-10(16)9(15)4-3-6-13/h6,14H,3-5,7-8H2,1-2H3"
C1215OH,"InChI=1S/C12H20O5/c1-12(2,11(17)5-7-14)8-10(16)9(15)4-3-6-13/h6,11,14,17H,3-5,7-8H2,1-2H3"
C1215OOH,"InChI=1S/C12H20O6/c1-12(2,11(18-17)5-7-14)8-10(16)9(15)4-3-6-13/h6,11,14,17H,3-5,7-8H2,1-2H3"
C128CO,"InChI=1S/C12H18O4/c1-9(4-6-13)10(15)8-12(2,3)11(16)5-7-14/h7,13H,1,4-6,8H2,2-3H3"
C128OH,"InChI=1S/C12H20O4/c1-9(4-6-13)10(15)8-12(2,3)11(16)5-7-14/h7,11,13,16H,1,4-6,8H2,2-3H3"
C128OOH,"InChI=1S/C12H20O5/c1-9(4-6-13)10(15)8-12(2,3)11(17-16)5-7-14/h7,11,13,16H,1,4-6,8H2,2-3H3"
C129OH,"InChI=1S/C12H18O4/c1-12(2)7-8(9(12)3-5-13)11(16)10(15)4-6-14/h5-6,8-10,15H,3-4,7H2,1-2H3"
C1312CO,"InChI=1S/C13H20O4/c1-10(5-4-7-14)11(16)9-13(2,3)12(17)6-8-15/h7,15H,1,4-6,8-9H2,2-3H3"
C1312OH,"InChI=1S/C13H22O4/c1-10(5-4-7-14)11(16)9-13(2,3)12(17)6-8-15/h7,12,15,17H,1,4-6,8-9H2,2-3H3"
C1312OOH,"InChI=1S/C13H22O5/c1-10(5-4-7-14)11(16)9-13(2,3)12(18-17)6-8-15/h7,12,15,17H,1,4-6,8-9H2,2-3H3"
BCLKAOH,"InChI=1S/C14H22O4/c1-9(16)13(18)7-11-10(8-14(11,2)3)12(17)5-4-6-15/h6,10-11,13,18H,4-5,7-8H2,1-3H3"
BCLKBOH,"InChI=1S/C14H22O4/c1-14(2)8-11(13(18)4-3-7-15)12(14)6-5-10(17)9-16/h7,11-12,16H,3-6,8-9H2,1-2H3"
BCLKCOH,"InChI=1S/C14H22O4/c1-9(16)4-5-12-11(7-14(12,2)3)13(18)6-10(17)8-15/h8,10-12,17H,4-7H2,1-3H3"
C144OOH,"InChI=1S/C14H24O5/c1-10(17)4-5-11-12(8-13(11,2)3)14(9-16,19-18)6-7-15/h7,11-12,16,18H,4-6,8-9H2,1-3H3"
C146OH,"InChI=1S/C14H22O4/c1-9(16)4-5-11-10(8-14(11,2)3)13(18)12(17)6-7-15/h7,10-12,17H,4-6,8H2,1-3H3"
BCALAOH,"InChI=1S/C15H24O3/c1-10(6-5-7-16)12-9-15(3,4)13(12)8-14(18)11(2)17/h7,12-14,18H,1,5-6,8-9H2,2-4H3"
BCALBOH,"InChI=1S/C15H24O3/c1-11(5-4-8-16)13-9-15(2,3)14(13)7-6-12(18)10-17/h8,13-14,17H,1,4-7,9-10H2,2-3H3"
BCALCOH,"InChI=1S/C15H24O3/c1-10(7-12(18)9-16)13-8-15(3,4)14(13)6-5-11(2)17/h9,12-14,18H,1,5-8H2,2-4H3"
BCALOH,"InChI=1S/C15H26O4/c1-11(18)5-6-12-13(9-14(12,2)3)15(19,10-17)7-4-8-16/h8,12-13,17,19H,4-7,9-10H2,1-3H3"
BCALOOH,"InChI=1S/C15H26O5/c1-11(18)5-6-12-13(9-14(12,2)3)15(10-17,20-19)7-4-8-16/h8,12-13,17,19H,4-7,9-10H2,1-3H3"
C721OOH,"InChI=1S/C7H12O4/c1-7(2)4(6(8)9)3-5(7)11-10/h4-5,10H,3H2,1-2H3,(H,8,9)"
C721CO3H,"InChI=1S/C8H12O5/c1-8(2)4(6(9)10)3-5(8)7(11)13-12/h4-5,12H,3H2,1-2H3,(H,9,10)"
C811OOH,"InChI=1S/C8H14O4/c1-8(2)5(4-12-11)3-6(8)7(9)10/h5-6,11H,3-4H2,1-2H3,(H,9,10)"
C823OOH,"InChI=1S/C8H14O4/c1-6(2)7(5-12-11)3-4-8(9)10/h7,11H,1,3-5H2,2H3,(H,9,10)"
C811CO3H,"InChI=1S/C9H14O5/c1-9(2)5(4-7(10)14-13)3-6(9)8(11)12/h5-6,13H,3-4H2,1-2H3,(H,11,12)"
C823CO3H,"InChI=1S/C9H14O5/c1-6(2)7(3-4-8(10)11)5-9(12)14-13/h7,13H,1,3-5H2,2H3,(H,10,11)"
LIMONIC,"InChI=1S/C9H14O4/c1-6(2)7(5-9(12)13)3-4-8(10)11/h7H,1,3-5H2,2H3,(H,10,11)(H,12,13)"
C137OOH,"InChI=1S/C13H22O4/c1-9(6-7-17-16)10-8-13(2,3)11(10)4-5-12(14)15/h10-11,16H,1,4-8H2,2-3H3,(H,14,15)"
C137CO2H,"InChI=1S/C14H22O4/c1-9(4-6-12(15)16)10-8-14(2,3)11(10)5-7-13(17)18/h10-11H,1,4-8H2,2-3H3,(H,15,16)(H,17,18)"
C137CO3H,"InChI=1S/C14H22O5/c1-9(4-7-13(17)19-18)10-8-14(2,3)11(10)5-6-12(15)16/h10-11,18H,1,4-8H2,2-3H3,(H,15,16)"
C622CO2H,"InChI=1S/C7H12O3/c1-5(2)6(4-8)3-7(9)10/h6,8H,1,3-4H2,2H3,(H,9,10)"
C624CO2H,"InChI=1S/C7H12O3/c1-5(2)6(3-4-8)7(9)10/h6,8H,1,3-4H2,2H3,(H,9,10)"
C812OH,"InChI=1S/C8H14O4/c1-7(2)5(4-9)3-8(7,12)6(10)11/h5,9,12H,3-4H2,1-2H3,(H,10,11)"
C812OOH,"InChI=1S/C8H14O5/c1-7(2)5(4-9)3-8(7,13-12)6(10)11/h5,9,12H,3-4H2,1-2H3,(H,10,11)"
C823OH,"InChI=1S/C8H14O3/c1-6(2)7(5-9)3-4-8(10)11/h7,9H,1,3-5H2,2H3,(H,10,11)"
C825OH,"InChI=1S/C8H14O4/c1-5(2)6(4-9)3-7(10)8(11)12/h6-7,9-10H,1,3-4H2,2H3,(H,11,12)"
C825OOH,"InChI=1S/C8H14O5/c1-5(2)6(4-9)3-7(13-12)8(10)11/h6-7,9,12H,1,3-4H2,2H3,(H,10,11)"
C137OH,"InChI=1S/C13H22O3/c1-9(6-7-14)10-8-13(2,3)11(10)4-5-12(15)16/h10-11,14H,1,4-8H2,2-3H3,(H,15,16)"
C139OH,"InChI=1S/C13H22O4/c1-9(6-7-14)13(17)8-12(2,3)10(13)4-5-11(15)16/h10,14,17H,1,4-8H2,2-3H3,(H,15,16)"
C139OOH,"InChI=1S/C13H22O5/c1-9(6-7-14)13(18-17)8-12(2,3)10(13)4-5-11(15)16/h10,14,17H,1,4-8H2,2-3H3,(H,15,16)"
C44OOH,"InChI=1S/C4H6O5/c5-2-1-3(9-8)4(6)7/h2-3,8H,1H2,(H,6,7)"
C3EODBCO2H,"InChI=1S/C6H8O3/c1-2-5(4-7)3-6(8)9/h3-4H,2H2,1H3,(H,8,9)"
RGDCO2H,"InChI=1S/C6H8O3/c1-2-5(3-4-7)6(8)9/h3-4H,2H2,1H3,(H,8,9)"
C615CO2H,"InChI=1S/C7H10O4/c1-7(2,4-9)5(3-8)6(10)11/h3-5H,1-2H3,(H,10,11)"
C722OOH,"InChI=1S/C7H12O5/c1-7(2,12-11)5(3-4-8)6(9)10/h4-5,11H,3H2,1-2H3,(H,9,10)"
IP3ODBCO2H,"InChI=1S/C7H10O3/c1-5(2)6(3-4-8)7(9)10/h3-5H,1-2H3,(H,9,10)"
PC3ODBCO2H,"InChI=1S/C7H10O3/c1-2-3-6(4-5-8)7(9)10/h4-5H,2-3H2,1H3,(H,9,10)"
C721CHO,"InChI=1S/C8H12O3/c1-8(2)5(4-9)3-6(8)7(10)11/h4-6H,3H2,1-2H3,(H,10,11)"
